First Author,Last Author,Title,Journal,ISSN,Yr of Publication,Yr of Retraction,Months to Retraction,PMID,Impact Factor,"5-year Impact Factor, year of publication; bold = 1-year IF; used 1999 IF for papers before 1999","Grant number(total grant size, #papers citing)","Grants, duplicates removed",Attributable $,"Attributable $, 2012 dollars","Total for all cited grants, non-duplicate grants","Total for all cited grants, non-duplicate grants, 2012 dollars","All NIH, all accounted for in ExPORTER?"
Abramson JS,Givner LB,Development of a vaccine tracking system to improve the rate of age-appropriate primary immunization in children of lower socioeconomic status.,J Pediatr,0022-3476,1995,1995,4,7699537,4.197,3.22,Supported by Merck Sharpe and Dohme,Supported by Merck Sharpe and Dohme,0,0,0,0,
Arichi T,Berzofsky JA,Prophylactic DNA vaccine for hepatitis C virus (HCV) infection: HCV-specific cytotoxic T lymphocyte induction and protection from HCV-recombinant vaccinia infection in an HLA-A2.1 transgenic mouse model,Proc Natl Acad Sci U S A,0027-8424,2000,2001,16,10618412,10.472,10.789,no grants cited,no grants cited,0,0,0,0,
Arnold SF,McLachlan JA,Synergistic activation of estrogen receptor with combinations of environmental chemicals.,Science,0036-8075,1996,1997,13,8633243,32.452,24.595,Unavailable,"need ""science classic"" subscription",0,0,0,0,
Aronica SM,Broxmeyer HE,Macrophage inflammatory protein-1alpha and interferon-inducible protein 10 inhibit synergistically induced growth factor stimulation of MAP kinase activity and suppress phosphorylation of eukaryotic initiation factor 4E and 4E binding protein 1.,Blood,0006-4971,1997,2006,109,9160663,9.785,8.872,"R01HL56416(5075353,184) R37CA36464(683654,104) R01HL49202(1109122,64) R01HL54037(1017382,54) T32DK07519(4204318,75)","R01HL56416(5075353,184) R37CA36464(683654,104) R01HL49202(1109122,64) R01HL54037(1017382,54) T32DK07519(4204318,75)",126385.0484,180792.83,12089829,17294406,Y
Asiedu CK,Thomas JM,Elevated T regulatory cells in long-term stable transplant tolerance in rhesus macaques induced by anti-CD3 immunotoxin and deoxyspergualin,J Immunol,0022-1767,2005,2006,8,16339543,5.859,6.387,"DK057958(13694133,26) AI056542-02(3533661,10) Juvenile Diabetes Research Foundation Grant 4-2004-364","DK057958(13694133,26) AI056542-02(3533661,10) Juvenile Diabetes Research Foundation Grant 4-2004-364",880063.5231,1034599.61,17227794,202529.35,
Azghadi S,Clark AT,Epigenetically reprogramming of human embryonic stem cells by 3-deazaneplanocin a and sodium butyrate.,Int J Prev Med,not found,2011,2011,3,21603011,0.1,0.1,no grants cited,no grants cited,0,0,0,0,
Badawi AF,Badr MZ,Inhibition of rat mammary gland carcinogenesis by simultaneous targeting of cyclooxygenase-2 and peroxisome proliferator-activated receptor gamma,Cancer Res,0008-5472,2004,2005,19,14871855,8.164,7.69,"CA06927(149454119,1705) CA97473(168000,1) CA57708(5205088,30) and appropriations from Commonwealth of Pennsylvania","CA06927(149454119,1705) CA97473(168000,1) CA57708(5205088,30) and appropriations from Commonwealth of Pennsylvania",429159.3081,521611.45,154827207,1881810.36,
Baglia FA,Walsh PN,The glycoprotein Ib-IX-V complex mediates localization of factor XI to lipid rafts on the platelet membrane,J Biol Chem,0021-9258,2003,2007,51,12517745,5.117,6.482,"HL46213(7678684,77) HL64943(6536968,52) HL56914(5694995,49) HL54218(912762,7) HL64796(1868125,11)","HL56914(5694995,49) HL54218(912762,7) HL64796(1868125,11)",641882.5965,800936.92,8475882,10576150.28,Y
Baglia FA,Walsh PN,Factor XI binding to the platelet glycoprotein Ib-IX-V complex promotes factor XI activation by thrombin,J Biol Chem,0021-9258,2002,2007,68,11696542,5.117,6.696,"HL46213(7678684,77) HL64943(6536968,52) HL56914(5694995,49) HL54218(912762,7) and HL64796(1868125,11)",,641882.5965,819190.63,0,0,Y
Baglia FA,Walsh PN,Thrombin-mediated feedback activation of factor XI on the activated platelet surface is preferred over contact activation by factor XIIa or factor XIa,J Biol Chem,0021-9258,2000,2007,86,10781579,5.117,7.368,"HL57530(713109,3) HL46213(7678684,77) HL64943(6536968,52) HL70683(1500000,17) P5065967(?)",P5065967(?),551372.386,735143.98,0,0,
