Country,Year,CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions (metric tons per capita),CO2 emissions (kg per 2011 PPP $ of GDP),CO2 emissions from solid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from residential buildings and commercial and public services (million metric tons),"CO2 emissions from electricity and heat production, total (million metric tons)",CO2 emissions from manufacturing industries and construction (million metric tons),"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)",CO2 emissions from transport (million metric tons)
USA,1960,630540.65,21.81276164,2890696.1,1282679.93,44.37270075,15.99977916,,918715.512,31.78180896,545.21,779.49,769.7,53.14,665.13
USA,1961,636935.898,22.11194863,2880505.507,1298378.357,45.07467019,15.68125552,,888169.402,30.8338033,557.39,795.04,748.25,53.04,679.76
USA,1962,676920.866,22.66065486,2987207.873,1335840.429,44.71869672,16.0139375,,921572.105,30.85061851,585.21,837.09,765.9,53.43,711.31
USA,1963,719043.695,23.05195492,3119230.874,1360368.992,43.61232134,16.48276215,,987816.46,31.66859075,582.7,899.07,814.66,52.08,739.71
USA,1964,759692.39,23.3321095,3255995.306,1395058.812,42.84584838,16.96811858,,1050034.449,32.24926176,582.15,928.56,867.82,48.89,768.73
USA,1965,783245.531,23.09830185,3390922.571,1465890.584,43.22984537,17.45172525,,1091511.886,32.1892306,604.75,1011.68,902.38,49.61,787.96
USA,1966,842896.62,23.66438698,3561878.111,1530913.828,42.98052264,18.12107301,,1133645.716,31.82719006,631.23,1088.96,951.25,48.07,825.99
USA,1967,882005.175,23.86565578,3695708.943,1590495.244,43.03626905,18.59831788,,1164001.142,31.49601768,657.99,1068.84,1044.62,44.36,865.13
USA,1968,937127.519,24.45942842,3831354.94,1690806.029,44.13075937,19.08938916,,1140536.009,29.76847687,674.94,1169.62,1068.19,47.13,937.23
USA,1969,1018916.287,25.31627001,4024748.853,1783086.084,44.30303975,19.85794566,,1158948.016,28.79553628,701.86,1265.75,1042.76,46.07,981.53
USA,1970,1060078.362,24.48837487,4328904.501,2039750.415,47.11932117,21.11125227,,1169046.934,27.00560693,798.51,1374.24,978.61,46.05,1035.27
USA,1971,1097826.46,25.19817322,4356770.034,2099023.803,48.17843922,20.98020348,,1108314.08,25.43889329,810.99,1413.61,908.77,76.78,1081.17
USA,1972,1116586.832,24.45998551,4564952.958,2271031.772,49.7492919,21.74864198,,1125761.666,24.6609697,826.17,1551.24,931.22,74.6,1148.75
USA,1973,1104383.056,23.15173841,4770194.948,2401448.627,50.34277746,22.51058213,,1211543.797,25.39820301,793.46,1664.17,966.56,73.12,1200.35
USA,1974,1053030.388,22.89949355,4598487.673,2301790.568,50.05538194,21.50293038,,1197260.832,26.03596915,751.6,1632.51,911.1,80.85,1172.21
USA,1975,978931.319,22.21647996,4406329.539,2236565.639,50.75802023,20.40222407,,1152171.4,26.14809877,736.11,1568.43,784.66,84.61,1187.02
USA,1976,995271.471,21.57489165,4613100.668,2301313.858,49.88648685,21.15761537,,1275466.941,27.64879921,790.83,1676.5,839.26,81.06,1240.47
USA,1977,963676.599,20.32090069,4742292.745,2444719.227,51.5514195,21.53248401,,1290409.966,27.2106771,765.14,1784.3,919.03,70.07,1278.6
USA,1978,981036.177,20.06573297,4889112.091,2492855.936,50.9879072,21.96514631,,1368418.057,27.98909151,762.41,1761.27,916.19,70,1324.35
USA,1979,1015843.341,20.72991685,4900373.448,2420880.06,49.4019504,21.77411499,,1415909.374,28.89390756,707.35,1786.17,993.15,85.11,1296.96
USA,1980,1002059.088,21.22480048,4721170.825,2216485.147,46.94778539,20.77751491,,1461226.16,30.95050389,636.39,1781.22,950.55,58.66,1234.76
USA,1981,970713.572,21.4200809,4531792.277,2033190.152,44.86503413,19.7492974,,1489652.744,32.87116119,593.35,1786.79,927.84,58.69,1229.25
USA,1982,903497.462,21.00864268,4300598.928,1924551.61,44.75078105,18.56395007,,1438446.756,33.44759137,590.23,1718.13,782.84,53.84,1220.35
USA,1983,858228.347,19.79799432,4334925.715,1921236.642,44.31994383,18.54180517,,1518086.662,35.01990027,569.93,1752.22,714.18,61.67,1236.68
USA,1984,886962.959,19.84112466,4470326.023,1954577.006,43.72336595,18.95611586,,1587389.295,35.50947485,592.66,1817.07,775.17,62.54,1274.28
USA,1985,860681.57,19.18397605,4486460.823,1956986.225,43.619822,18.85669719,,1628012.321,36.28722918,569.84,1856.66,765.69,68.91,1284.63
USA,1986,817454.974,18.20135456,4491176.585,2042559.337,45.47938159,18.70287126,,1589761.844,35.39744684,554.93,1843.71,748.71,66.38,1308.27
USA,1987,865694.359,18.48024511,4684431.152,2093941.341,44.70001315,19.33406449,,1682188.579,35.91019965,565.36,1930.32,755.6,64.26,1353.06
USA,1988,907443.154,18.56218838,4888664.717,2177820.299,44.54836699,19.9946205,,1760347.017,36.0087492,599.92,2013.7,784.52,66.35,1414.68
USA,1989,939188.373,18.96934689,4951084.391,2170526.636,43.8394191,20.0595756,,1798227.127,36.3198642,601.1,2109.01,736.07,64.81,1426.35
USA,1990,948751.909,19.89774534,4768137.761,1993879.912,41.81674297,19.10135589,0.5165080218,1781828.303,37.36948034,541.62,2138.8,702.85,65.42,1419.98
USA,1991,1056092.333,21.88019941,4826703.418,1961294.95,40.63425448,19.07931196,0.523232337,1765906.189,36.58617562,551.3,2156.67,671.3,63.19,1392.52
USA,1992,1083536.161,22.01326832,4922195.765,2006245.036,40.75914758,19.1887997,0.5152651085,1787908.189,36.32338644,561.19,2251.15,607.72,46.87,1423.24
USA,1993,1102259.863,21.91472919,5029767.21,2047187.091,40.70142823,19.35128717,0.5124587084,1830485.726,36.3930506,581.56,2310.74,623.68,44.54,1446.71
USA,1994,1150851.28,22.47071947,5121559.554,2076284.736,40.54008772,19.46428538,0.5015654783,1842421.811,35.97384335,571.93,2335.26,636.17,45.29,1499.2
USA,1995,1185277.076,22.98755423,5156168.7,2076156.391,40.2654861,19.36385544,0.4915903195,1840195.942,35.68921129,576.12,2396.2,591.58,45.33,1529.5
